date,Brand,Batch,FV,Notes,Fermentation Start Date/Time,Test Operation,Test,gravity_test,date,temp_test,date
2019-03-21 09:51:08,White,F16424,B11,,2019-03-20 09:15:00,Day 1,GRAVITY,9.55,2019-03-21 09:51:08,65.9,2019-03-21 09:51:08
2019-03-21 10:40:31,White,F16420,B10,,2019-03-19 23:06:00,Day 2,GRAVITY,8.29,2019-03-21 10:40:31,65.8,2019-03-21 10:40:31
2019-03-21 10:46:44,White,F16416,B08,,2019-03-19 13:39:00,Day 2,GRAVITY,6.73,2019-03-21 10:46:44,65.7,2019-03-21 10:46:44
2019-03-21 11:01:26,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,4.13,2019-03-21 11:01:26,68.7,2019-03-21 11:01:26
2019-03-21 11:28:18,White,F16401,B04,,2019-03-14 05:11:00,Gravity Check,GRAVITY,2.53,2019-03-21 11:28:18,66.3,2019-03-21 11:28:18
2019-03-21 11:50:48,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Cold,GRAVITY,2.41,2019-03-21 11:50:48,60.0,2019-03-21 11:50:48
2019-03-21 11:56:19,White,F16389,B03,,2019-03-12 22:56:00,Cold,GRAVITY,2.5,2019-03-21 11:56:19,58.3,2019-03-21 11:56:19
2019-03-21 18:13:20,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,3.26,2019-03-21 18:13:20,68.9,2019-03-21 18:13:20
2019-03-22 10:59:38,White,F16428,B12,,2019-03-20 18:40:00,Day 2,GRAVITY,6.71,2019-03-22 10:59:38,65.6,2019-03-22 10:59:38
2019-03-22 11:08:16,White,F16424,B11,,2019-03-20 09:15:00,Day 2,GRAVITY,5.47,2019-03-22 11:08:16,65.5,2019-03-22 11:08:16
2019-03-22 11:13:00,White,F16420,B10,,2019-03-19 23:06:00,Gravity Check,GRAVITY,4.07,2019-03-22 11:13:00,68.7,2019-03-22 11:13:00
2019-03-22 11:16:39,White,F16416,B08,,2019-03-19 13:39:00,Gravity Check,GRAVITY,3.09,2019-03-22 11:16:39,68.9,2019-03-22 11:16:39
2019-03-22 11:23:21,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,2.55,2019-03-22 11:23:21,68.7,2019-03-22 11:23:21
2019-03-22 11:34:33,White,F16401,B04,,2019-03-14 05:11:00,Cold,GRAVITY,2.55,2019-03-22 11:34:33,58.1,2019-03-22 11:34:33
2019-03-23 13:27:45,White,F16428,B12,,2019-03-20 18:40:00,Gravity Check,GRAVITY,2.77,2019-03-23 13:27:45,68.5,2019-03-23 13:27:45
2019-03-23 13:29:59,White,F16424,B11,,2019-03-20 09:15:00,Gravity Check,GRAVITY,2.66,2019-03-23 13:29:59,68.5,2019-03-23 13:29:59
2019-03-23 13:34:12,White,F16420,B10,,2019-03-19 23:06:00,Gravity Check,GRAVITY,2.59,2019-03-23 13:34:12,68.3,2019-03-23 13:34:12
2019-03-23 13:35:55,White,F16416,B08,,2019-03-19 13:39:00,Gravity Check,GRAVITY,2.57,2019-03-23 13:35:55,68.5,2019-03-23 13:35:55
2019-03-23 13:40:40,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,2.49,2019-03-23 13:40:40,68.4,2019-03-23 13:40:40
2019-03-24 15:52:37,White,F16416,B08,,2019-03-19 13:39:00,Gravity Check,GRAVITY,2.56,2019-03-24 15:52:37,67.7,2019-03-24 15:52:37
2019-03-24 15:52:59,White,F16420,B10,,2019-03-19 23:06:00,Gravity Check,GRAVITY,2.63,2019-03-24 15:52:59,67.3,2019-03-24 15:52:59
2019-03-24 15:53:21,White,F16424,B11,,2019-03-20 09:15:00,Gravity Check,GRAVITY,2.62,2019-03-24 15:53:21,67.9,2019-03-24 15:53:21
2019-03-24 15:53:45,White,F16428,B12,,2019-03-20 18:40:00,Gravity Check,GRAVITY,2.65,2019-03-24 15:53:45,68.5,2019-03-24 15:53:45
2019-03-24 15:54:10,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,2.45,2019-03-24 15:54:10,68.5,2019-03-24 15:54:10
2019-03-25 09:32:37,White,F16428,B12,,2019-03-20 18:40:00,Gravity Check,GRAVITY,2.61,2019-03-25 09:32:37,68.2,2019-03-25 09:32:37
2019-03-25 09:36:50,White,F16424,B11,,2019-03-20 09:15:00,Gravity Check,GRAVITY,2.6,2019-03-25 09:36:50,67.9,2019-03-25 09:36:50
2019-03-25 09:40:53,White,F16420,B10,,2019-03-19 23:06:00,Gravity Check,GRAVITY,2.6,2019-03-25 09:40:53,67.8,2019-03-25 09:40:53
2019-03-25 09:51:30,White,F16416,B08,,2019-03-19 13:39:00,Gravity Check,GRAVITY,2.56,2019-03-25 09:51:30,67.8,2019-03-25 09:51:30
2019-03-25 09:58:04,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,2.44,2019-03-25 09:58:04,68.0,2019-03-25 09:58:04
2019-03-26 15:32:27,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Day 1,GRAVITY,10.47,2019-03-26 15:32:27,65.4,2019-03-26 15:32:27
2019-03-26 16:01:20,White,F16428,B12,,2019-03-20 18:40:00,Gravity Check,GRAVITY,2.55,2019-03-26 16:01:20,67.7,2019-03-26 16:01:20
2019-03-26 16:04:43,White,F16424,B11,,2019-03-20 09:15:00,Gravity Check,GRAVITY,2.58,2019-03-26 16:04:43,67.3,2019-03-26 16:04:43
2019-03-26 16:09:04,White,F16420,B10,,2019-03-19 23:06:00,Gravity Check,GRAVITY,2.55,2019-03-26 16:09:04,67.4,2019-03-26 16:09:04
2019-03-26 16:13:05,White,F16416,B08,,2019-03-19 13:39:00,Gravity Check,GRAVITY,2.56,2019-03-26 16:13:05,67.2,2019-03-26 16:13:05
2019-03-26 16:28:39,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Gravity Check,GRAVITY,2.42,2019-03-26 16:28:39,67.8,2019-03-26 16:28:39
2019-03-27 14:00:20,White,F16448,B13,,2019-03-26 23:04:00,Day 1,GRAVITY,10.12,2019-03-27 14:00:20,65.5,2019-03-27 14:00:20
2019-03-27 14:13:11,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Day 2,GRAVITY,7.61,2019-03-27 14:13:11,65.7,2019-03-27 14:13:11
2019-03-27 14:45:04,White,F16428,B12,,2019-03-20 18:40:00,Gravity Check,GRAVITY,2.51,2019-03-27 14:45:04,67.1,2019-03-27 14:45:04
2019-03-27 14:49:26,White,F16424,B11,,2019-03-20 09:15:00,Gravity Check,GRAVITY,2.56,2019-03-27 14:49:26,66.9,2019-03-27 14:49:26
2019-03-27 15:00:29,White,F16420,B10,,2019-03-19 23:06:00,Gravity Check,GRAVITY,2.54,2019-03-27 15:00:29,67.1,2019-03-27 15:00:29
2019-03-27 15:12:26,White,F16416,B08,,2019-03-19 13:39:00,Cold,GRAVITY,2.56,2019-03-27 15:12:26,58.2,2019-03-27 15:12:26
2019-03-27 15:19:41,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Cold,GRAVITY,2.45,2019-03-27 15:19:41,60.3,2019-03-27 15:19:41
2019-03-28 09:35:06,White,F16456,B20,,2019-03-27 18:39:00,Day 1,GRAVITY,9.78,2019-03-28 09:35:06,65.8,2019-03-28 09:35:06
2019-03-28 09:46:04,White,F16448,B13,,2019-03-26 23:04:00,Day 2,GRAVITY,7.48,2019-03-28 09:46:04,65.7,2019-03-28 09:46:04
2019-03-28 09:52:06,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,5.08,2019-03-28 09:52:06,68.7,2019-03-28 09:52:06
2019-03-28 10:07:10,White,F16428,B12,,2019-03-20 18:40:00,Gravity Check,GRAVITY,2.52,2019-03-28 10:07:10,66.8,2019-03-28 10:07:10
2019-03-28 10:35:12,White,F16424,B11,,2019-03-20 09:15:00,Cold,GRAVITY,2.56,2019-03-28 10:35:12,58.2,2019-03-28 10:35:12
2019-03-28 10:40:02,White,F16420,B10,,2019-03-19 23:06:00,Cold,GRAVITY,2.59,2019-03-28 10:40:02,58.8,2019-03-28 10:40:02
2019-03-28 20:14:54,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,3.95,2019-03-28 20:14:54,68.9,2019-03-28 20:14:54
2019-03-29 11:07:54,White,F16456,B20,,2019-03-27 18:39:00,Day 2,GRAVITY,6.02,2019-03-29 11:07:54,65.8,2019-03-29 11:07:54
2019-03-29 11:13:06,White,F16448,B13,,2019-03-26 23:04:00,Gravity Check,GRAVITY,3.91,2019-03-29 11:13:06,68.7,2019-03-29 11:13:06
2019-03-29 11:18:03,White,F16440,B16,spunding trial,2019-03-26 03:35:00,Gravity Check,GRAVITY,2.79,2019-03-29 11:18:03,68.7,2019-03-29 11:18:03
2019-03-29 11:34:44,White,F16428,B12,,2019-03-20 18:40:00,Cold,GRAVITY,2.54,2019-03-29 11:34:44,57.8,2019-03-29 11:34:44
2019-03-30 14:08:32,White,F16456,B20,,2019-03-27 18:39:00,Gravity Check,GRAVITY,2.75,2019-03-30 14:08:32,68.4,2019-03-30 14:08:32
2019-03-30 14:10:06,White,F16448,B13,,2019-03-26 23:04:00,Gravity Check,GRAVITY,2.61,2019-03-30 14:10:06,68.4,2019-03-30 14:10:06
